Date,2057.HK,2899.HK,0883.HK,1919.HK,1299.HK,0288.HK,0175.HK,1088.HK,1378.HK,0857.HK,0669.HK,9961.HK,^HSI
2021-04-07,221.58663940429688,9.13198471069336,5.011043071746826,4.724128723144531,83.7374267578125,4.88185453414917,18.676660537719727,9.254485130310059,7.204304218292236,1.8685357570648193,121.3399429321289,,28674.80078125
2021-04-08,217.45034790039062,9.438185691833496,4.8140482902526855,4.281457424163818,88.89532470703125,4.9668803215026855,18.997095108032227,9.231260299682617,7.543638706207275,1.8618146181106567,128.13641357421875,,29008.0703125
2021-04-09,213.70797729492188,9.402161598205566,4.869452953338623,4.343707084655762,87.72919464111328,4.903110980987549,18.95132064819336,9.28931999206543,7.373972415924072,1.83492910861969,125.9615478515625,,28698.80078125
2021-04-12,214.2989044189453,8.663678169250488,4.912545204162598,4.150039196014404,86.2939453125,4.810999870300293,17.614656448364258,9.300930976867676,7.099894046783447,1.8282078504562378,123.69603729248047,,28453.279296875
2021-04-13,217.64732360839844,8.663678169250488,4.869452953338623,3.942537307739258,89.0747299194336,4.704719066619873,17.614656448364258,9.300930976867676,7.243458271026611,1.8416506052017212,123.42417907714844,,28497.25
2021-04-14,230.84402465820312,9.22204303741455,4.955638408660889,3.928704023361206,88.71592712402344,4.733060359954834,18.49355697631836,9.533163070678711,7.5697407722473145,1.8685357570648193,126.50526428222656,,28900.830078125
2021-04-15,226.70774841308594,9.582279205322266,5.035667896270752,3.963287591934204,89.5680923461914,4.747231483459473,18.630887985229492,9.509941101074219,7.856867790222168,1.8887003660202026,125.59907531738281,,28793.140625
2021-04-16,220.4048309326172,9.582279205322266,5.189568996429443,4.177706241607666,88.7607650756836,4.7968292236328125,19.95839500427246,9.63766860961914,7.6741509437561035,1.9021426439285278,124.69288635253906,,28969.7109375
2021-04-19,225.13201904296875,9.960528373718262,5.164945125579834,4.198456287384033,87.90859985351562,4.733060359954834,20.91969108581543,9.567998886108398,7.79161262512207,1.90886390209198,125.7802963256836,280.02001953125,29106.150390625
2021-04-20,230.05616760253906,9.960528373718262,5.1464762687683105,4.198456287384033,87.95345306396484,4.761402606964111,21.148574829101562,9.55638599395752,7.582792282104492,1.8887003660202026,126.7771224975586,289.01422119140625,29135.73046875
2021-04-21,229.4652557373047,9.834444999694824,5.0664472579956055,4.198456287384033,86.02484893798828,4.740146160125732,20.599258422851562,9.498329162597656,7.465330600738525,1.8416506052017212,126.0521469116211,282.21856689453125,28621.919921875
2021-04-22,224.5410919189453,9.888479232788086,5.04182243347168,4.578876972198486,86.78732299804688,4.754316329956055,20.233049392700195,9.614444732666016,7.817714691162109,1.8282078504562378,128.95199584960938,298.80792236328125,28755.33984375
2021-04-23,240.69232177734375,10.140646934509277,5.035667896270752,4.634210586547852,87.77404022216797,4.733060359954834,20.32460594177246,9.602834701538086,7.830766201019287,1.8282078504562378,132.2143096923828,301.8059997558594,29078.75
2021-04-26,248.57095336914062,10.338774681091309,5.029510974884033,4.703377723693848,88.80562591552734,4.697633266448975,19.729511260986328,9.405436515808105,7.9873809814453125,1.821486473083496,130.40191650390625,298.6080322265625,28952.830078125
2021-04-27,245.61647033691406,10.392810821533203,5.004887104034424,5.063047885894775,89.29900360107422,4.7188897132873535,19.683738708496094,9.358989715576172,8.091791152954102,1.821486473083496,129.4957275390625,301.20635986328125,28941.5390625
2021-04-28,244.6316375732422,10.05058765411377,5.011043071746826,4.841712951660156,89.52325439453125,4.867682933807373,18.90553855895996,9.405436515808105,7.778562068939209,1.83492910861969,129.5863494873047,309.80084228515625,29071.33984375
2021-04-29,246.01043701171875,10.482870101928711,5.072603225708008,5.0146307945251465,92.84224700927734,4.938538074493408,19.180200576782227,9.626057624816895,8.104842185974121,1.8550933599472046,132.57681274414062,318.7950744628906,29303.259765625
2021-04-30,243.25286865234375,9.852457046508789,5.072603225708008,4.807129383087158,88.71592712402344,4.810999870300293,18.447782516479492,9.405436515808105,8.026535034179688,1.9021426439285278,128.31768798828125,307.6022644042969,28724.880859375
2021-05-03,246.9952392578125,9.744386672973633,5.023354530334473,5.325883388519287,86.4284896850586,4.768487930297852,18.127347946166992,9.405436515808105,7.830766201019287,1.8954209089279175,128.04580688476562,304.4043273925781,28357.5390625
2021-05-04,251.91937255859375,10.969189643859863,5.103383541107178,5.6717209815979,87.86375427246094,4.782658576965332,18.35622787475586,9.498329162597656,8.535533905029297,1.9626349210739136,130.49252319335938,299.6073913574219,28557.140625
2021-05-05,247.9800567626953,10.951176643371582,5.1957244873046875,5.948389530181885,87.10127258300781,4.839341640472412,18.35622787475586,9.567998886108398,8.744356155395508,1.9962414503097534,129.04261779785156,290.81304931640625,28417.98046875
2021-05-06,245.0255584716797,10.879130363464355,5.318847179412842,5.913805961608887,89.02986907958984,4.88185453414917,18.090728759765625,9.858288764953613,8.979279518127441,2.036569595336914,133.1204833984375,305.80340576171875,28637.4609375
2021-05-07,239.51051330566406,11.077259063720703,5.368095397949219,5.713221073150635,91.0481948852539,4.867682933807373,17.596343994140625,9.986019134521484,8.914022445678711,2.070176362991333,135.29541015625,306.4030456542969,28610.650390625
2021-05-10,240.8892822265625,11.977849960327148,5.614338397979736,6.1558918952941895,91.40701293945312,4.853512763977051,17.57803726196289,10.543376922607422,9.175047874450684,2.1642754077911377,136.02035522460938,297.8085632324219,28595.66015625
2021-05-11,234.98031616210938,11.059248924255371,5.4173431396484375,5.588719367980957,88.5365219116211,4.7897443771362305,16.461095809936523,10.334366798400879,8.900971412658691,2.103783369064331,132.66741943359375,287.2153625488281,28013.810546875
2021-05-12,236.3590850830078,11.275390625,5.435811519622803,5.491885185241699,87.59464263916016,4.761402606964111,16.808998107910156,10.496930122375488,8.992328643798828,2.110504388809204,134.66104125976562,289.8136901855469,28231.0390625
2021-05-13,229.4652557373047,10.464859008789062,5.312690734863281,5.415801525115967,86.24909210205078,4.775572776794434,16.18644142150879,10.009241104125977,8.117894172668457,2.0970618724823,121.88365173339844,280.6195983886719,27718.669921875
2021-05-14,230.45008850097656,10.536904335021973,5.294222354888916,5.581803798675537,91.67610931396484,4.775572776794434,16.094886779785156,9.997629165649414,8.000432014465332,2.0836191177368164,125.41783905029297,278.4210205078125,28027.5703125
2021-05-17,238.72264099121094,11.095272064208984,5.2572855949401855,5.913805961608887,92.30402374267578,4.747231483459473,16.699134826660156,10.05568790435791,7.961278915405273,2.110504388809204,121.88365173339844,290.0135803222656,28194.08984375
2021-05-18,236.16209411621094,11.221352577209473,5.423500061035156,6.183558464050293,93.02164459228516,4.81808614730835,16.754064559936523,10.2763090133667,8.130945205688477,2.211325168609619,124.23979949951172,304.60418701171875,28593.810546875
2021-05-20,246.79824829101562,10.5909423828125,5.232661247253418,5.6717209815979,91.13788604736328,4.7188897132873535,17.468172073364258,9.777008056640625,7.687201499938965,2.110504388809204,122.70819854736328,313.598388671875,28450.2890625
2021-05-21,248.37399291992188,10.338774681091309,5.1957244873046875,5.948389530181885,91.22759246826172,4.733060359954834,17.57803726196289,9.904736518859863,7.935176372528076,2.103783369064331,123.89334869384766,318.5951843261719,28458.439453125
2021-05-24,245.22254943847656,9.996552467346191,5.220348834991455,5.73397159576416,91.0481948852539,4.7188897132873535,17.285066604614258,9.835066795349121,7.765508651733398,2.110504388809204,127.99577331542969,313.19866943359375,28412.259765625
2021-05-25,243.84376525878906,10.428833961486816,5.269598484039307,5.53338623046875,92.22869110107422,4.775572776794434,17.834379196166992,9.986019134521484,7.935176372528076,2.13739013671875,129.27210998535156,308.8014831542969,28910.859375
2021-05-26,245.22254943847656,10.62696361541748,5.251128673553467,5.187548637390137,92.77227020263672,4.768487930297852,18.035797119140625,9.869902610778809,7.843817234039307,2.1172258853912354,131.55120849609375,310.000732421875,29166.009765625
2021-05-27,242.26803588867188,10.5909423828125,5.208037376403809,5.374301433563232,92.59107208251953,4.832255840301514,18.054107666015625,9.858288764953613,7.843817234039307,2.1172258853912354,133.6479949951172,314.9975280761719,29113.19921875
2021-05-28,237.93478393554688,10.825095176696777,5.232661247253418,5.609470844268799,93.4970474243164,4.740146160125732,18.18359375,9.951183319091797,8.183150291442871,2.1306684017181396,133.37452697753906,313.9981689453125,29124.41015625
2021-05-31,244.82861328125,10.969189643859863,5.189568996429443,5.650970458984375,89.87313842773438,4.697633266448975,18.257585525512695,10.206640243530273,8.170099258422852,2.1306684017181396,130.63955688476562,316.5964660644531,29151.80078125
2021-06-01,243.84376525878906,11.11328411102295,5.3619384765625,5.616386890411377,90.96031188964844,4.711804389953613,18.683040618896484,10.148580551147461,8.026535034179688,2.1844396591186523,132.280517578125,322.19287109375,29468.0
2021-06-02,242.4650115966797,10.753046989440918,5.405031204223633,5.429635524749756,89.82783508300781,4.910195827484131,19.792922973632812,10.148580551147461,7.843817234039307,2.2583742141723633,128.269287109375,311.799560546875,29297.619140625
2021-06-03,246.40431213378906,10.66298770904541,5.417704105377197,5.33280086517334,88.3782730102539,4.910195827484131,19.376718521118164,10.195028305053711,7.762111186981201,2.2583742141723633,125.9901351928711,309.401123046875,28966.029296875
2021-06-04,243.055908203125,10.229948997497559,5.39869499206543,5.519552230834961,88.74066162109375,4.910196304321289,20.579090118408203,10.102134704589844,7.394431114196777,2.2718169689178467,123.61984252929688,303.40496826171875,28918.099609375
2021-06-07,242.4650115966797,10.50347900390625,5.525425434112549,5.7685546875,88.19708251953125,5.289013385772705,19.515453338623047,10.136969566345215,7.612316131591797,2.2583742141723633,123.71102905273438,300.0071716308594,28787.279296875
2021-06-08,239.7074737548828,10.321125984191895,5.550771236419678,5.8930559158325195,87.87998962402344,5.310660362243652,19.792922973632812,10.05568790435791,7.367196559906006,2.251652956008911,124.16681671142578,292.0122985839844,28781.380859375
2021-06-09,246.20736694335938,10.48524284362793,5.715519428253174,5.948389530181885,87.29108428955078,5.274582386016846,20.116640090942383,10.171804428100586,7.544227600097656,2.291980743408203,123.71102905273438,290.413330078125,28742.630859375
2021-06-10,244.2377166748047,10.30289077758789,5.715519428253174,6.6400628089904785,86.61161804199219,5.209641933441162,20.34786605834961,10.148580551147461,7.516991138458252,2.312145471572876,124.53150939941406,292.811767578125,28738.880859375
2021-06-11,243.25286865234375,10.48524284362793,5.791558265686035,6.626229763031006,86.61161804199219,5.173564434051514,20.39410972595215,10.253087043762207,7.762111186981201,2.399522542953491,128.269287109375,290.413330078125,28842.130859375
2021-06-15,239.51051330566406,10.011126518249512,5.65215539932251,6.902899742126465,85.11674499511719,5.123055458068848,21.365257263183594,10.183416366577148,7.639552593231201,2.386079788208008,123.80220031738281,287.8149719238281,28638.529296875
2021-06-16,235.17726135253906,9.10848331451416,5.639481544494629,6.515562534332275,86.15862274169922,5.123055458068848,20.486600875854492,10.183416366577148,6.9722819328308105,2.4196865558624268,124.44032287597656,289.6138000488281,28436.83984375
2021-06-17,231.43492126464844,9.22701358795166,5.601462364196777,6.916733264923096,86.24922180175781,5.101408004760742,21.087787628173828,10.16019344329834,7.026752948760986,2.4667365550994873,125.16963958740234,290.413330078125,28558.58984375
2021-06-18,226.5107879638672,9.072013854980469,5.487405300140381,7.00319242477417,86.24922180175781,5.1302714347839355,22.197673797607422,9.835066795349121,6.808868885040283,2.4062438011169434,126.35479736328125,289.6138000488281,28801.26953125
2021-06-21,222.57147216796875,9.017308235168457,5.4937424659729,6.750730991363525,84.89025115966797,5.0581159591674805,23.168819427490234,9.800230979919434,6.747589588165283,2.368889093399048,120.33790588378906,284.8169250488281,28489.0
2021-06-22,223.95021057128906,9.336423873901367,5.645817756652832,6.799147605895996,84.93553924560547,5.043684005737305,23.07632827758789,9.835066795349121,6.802060604095459,2.507420301437378,123.80220031738281,286.4158935546875,28309.759765625
2021-06-23,226.3137969970703,9.427599906921387,5.677500247955322,6.52247953414917,87.47229766845703,5.029253005981445,24.417438507080078,10.078912734985352,6.945046424865723,2.5697598457336426,123.07286834716797,286.4158935546875,28817.0703125
2021-06-24,227.2986297607422,9.354660034179688,5.683836936950684,6.3910603523254395,88.01587677001953,5.0076069831848145,24.139968872070312,10.171804428100586,7.094841480255127,2.6251721382141113,120.61141967773438,283.81756591796875,28882.4609375
2021-06-25,231.82887268066406,9.901716232299805,5.82957649230957,6.743814468383789,88.01587677001953,4.993175506591797,24.093721389770508,10.380813598632812,7.2718729972839355,2.7082912921905518,124.62266540527344,288.6144714355469,29288.220703125
2021-06-28,232.81369018554688,9.573482513427734,5.7598748207092285,6.785314083099365,86.7928237915039,5.050900459289551,23.585025787353516,10.044075965881348,6.9722819328308105,2.6736583709716797,123.89334869384766,278.8207702636719,29268.30078125
2021-06-29,228.4804229736328,9.427599906921387,5.595126628875732,6.494811058044434,86.70220184326172,5.022037506103516,23.40004539489746,9.93957233428955,7.0131354331970215,2.562833547592163,122.98169708251953,275.0232238769531,28994.099609375
2021-06-30,230.45008850097656,9.518775939941406,5.595126628875732,6.764564514160156,87.42699432373047,5.036467552185059,22.61387825012207,10.110479354858398,7.162930965423584,2.6182456016540527,123.61984252929688,275.82269287109375,28827.94921875
2021-07-02,227.69256591796875,9.537012100219727,5.65215539932251,6.934024333953857,86.7928237915039,4.97152853012085,21.55023956298828,9.924478530883789,7.081223964691162,2.6251721382141113,121.97887420654297,278.02130126953125,28310.419921875
2021-07-05,220.4048309326172,9.737600326538086,5.696509838104248,6.743814468383789,87.65348815917969,5.036467552185059,22.70636749267578,10.24333667755127,7.299108982086182,2.666731595993042,123.52870178222656,276.8220520019531,28143.5
2021-07-06,221.38967895507812,9.719364166259766,5.778885364532471,7.148443222045898,87.47229766845703,4.942666053771973,22.428895950317383,10.123764991760254,7.299108982086182,2.632098913192749,121.43189239501953,271.0257873535156,28072.859375
2021-07-07,220.60179138183594,9.828775405883789,5.639481544494629,7.849799156188965,87.87998962402344,4.942666053771973,22.243915557861328,10.176907539367676,7.217401027679443,2.576686382293701,122.16120147705078,268.0277099609375,27960.619140625
2021-07-08,217.056396484375,9.391130447387695,5.322657108306885,7.301302433013916,85.3432388305664,4.834432601928711,22.336406707763672,9.911191940307617,6.985899448394775,2.424301862716675,117.32946014404297,255.43580627441406,27153.130859375
2021-07-09,218.6321563720703,9.682893753051758,5.328993320465088,6.519021034240723,85.66034698486328,4.7694926261901855,21.87395668029785,9.911191940307617,7.231020450592041,2.417375326156616,119.69976806640625,249.4396514892578,27344.5390625
2021-07-12,219.02606201171875,9.919951438903809,5.303647041320801,6.510028839111328,85.25264739990234,4.7189836502075195,22.336406707763672,9.791620254516602,7.1493120193481445,2.3827426433563232,123.34635162353516,246.44158935546875,27515.240234375
2021-07-13,223.5562744140625,9.901716232299805,5.316320419311523,6.662888050079346,87.87998962402344,4.7694926261901855,23.492534637451172,9.964335441589355,7.2718729972839355,2.4104485511779785,123.80220031738281,251.43836975097656,27963.41015625
2021-07-14,225.91986083984375,9.609951972961426,5.259291648864746,6.213301181793213,86.29452514648438,4.668474197387695,22.89134979248047,10.097193717956543,6.876957893371582,2.368889093399048,122.16120147705078,250.83876037597656,27787.4609375
2021-07-15,223.95021057128906,9.883480072021484,5.214936256408691,6.141366958618164,87.01930236816406,4.71176815032959,22.52138900756836,10.110479354858398,6.999517440795898,2.3827426433563232,122.52586364746094,251.0386199951172,27996.26953125
2021-07-16,224.34414672851562,9.883480072021484,5.145235061645508,6.249268054962158,87.10989379882812,4.747845649719238,22.52138900756836,10.123764991760254,7.176548480987549,2.3342559337615967,123.07286834716797,247.64080810546875,28004.6796875
2021-07-19,220.60179138183594,9.701128005981445,5.05652379989624,6.303218841552734,84.25607299804688,4.553024768829346,21.92020034790039,10.123764991760254,7.1493120193481445,2.327329635620117,121.24955749511719,237.64723205566406,27489.779296875
2021-07-20,216.85943603515625,9.22701358795166,4.967813014984131,6.024474620819092,84.43726348876953,4.524163246154785,21.18027687072754,9.977622032165527,6.727162837982178,2.244210720062256,119.9732437133789,224.85545349121094,27259.25
2021-07-21,218.2382049560547,9.299954414367676,4.967813014984131,5.898589611053467,84.89025115966797,4.473653316497803,21.642728805541992,9.84476375579834,6.8361053466796875,2.2303576469421387,118.51460266113281,225.65493774414062,27224.580078125
2021-07-22,221.38967895507812,9.518775939941406,5.1388983726501465,6.07842493057251,86.97400665283203,4.560240745544434,22.151426315307617,9.977622032165527,7.081223964691162,2.313476324081421,124.71383666992188,228.85289001464844,27723.83984375
2021-07-23,221.58663940429688,9.64642333984375,5.126225471496582,5.655812740325928,85.97743225097656,4.5385942459106445,21.92020034790039,10.057336807250977,7.053988456726074,2.278843879699707,121.70539093017578,221.8573760986328,27321.98046875
2021-07-26,211.93528747558594,9.573482513427734,4.993158340454102,5.610854148864746,84.12016296386719,4.480869770050049,21.642728805541992,9.84476375579834,6.904194355010986,2.2303576469421387,120.06440734863281,207.26675415039062,26192.3203125
2021-07-27,196.96588134765625,10.029361724853516,4.923457622528076,5.1342902183532715,80.858642578125,4.336558818817139,21.04154396057129,9.658763885498047,6.652265548706055,2.244210720062256,118.9704360961914,192.9759521484375,25086.4296875
2021-07-28,193.4204864501953,9.537012100219727,4.90444803237915,5.475976943969727,80.26976013183594,4.336558818817139,21.966447830200195,9.658763885498047,6.441190242767334,2.278843879699707,124.44032287597656,206.8670196533203,25473.880859375
2021-07-29,212.52621459960938,9.938187599182129,4.936130523681641,5.413033962249756,83.39539337158203,4.480869770050049,23.631271362304688,9.778334617614746,6.781633377075195,2.258064031600952,123.89334869384766,219.05917358398438,26315.3203125
2021-07-30,206.02630615234375,10.047597885131836,4.879101753234863,5.2601752281188965,84.34666442871094,4.646827697753906,24.001232147216797,9.76504898071289,7.0131354331970215,2.244210720062256,126.6282958984375,214.86187744140625,25961.029296875
